Populations;;;;;;
;;;;;;
;;;;;;
City;No.;2000;2015;Densité;Densité normé;Zone;Latitude;Longitude
London;1;11100;11977;5354;0.124283293;N;51.50000;-0.11670
Paris;2;9775;12405;21154;0.491051324;N;48.85000;2.33330 
Rome;3;3175;2874;2236;0.05190464;N;41.86670;12.61670
Berlin;4;5061;3469;3891;0.090322431;N;52.51670;13.33330
Madrid;5;4650;3141;5138;0.11926925;N;40.43330;-3.70000
Warsaw;6;2323;1726;3338;0.07748555;N;52.58340;21.08330  
Budapest;7;2565;1733;3301;0.076626663;N;47.43300;19.25000
Sofia;8;1205;1430;7944;0.184405395;N;42.71670;23.33330 
Stockholm;9;1450;917;4901;0.113767729;N;47.08300;-68.13300
Hong-Kong;10;5396;7071;6405;0.148680331;E;22.25000;114.20000 
Tokyo;11;23620;13474;6156;0.142900253;N;35.68330;139.73330
Peking;12;10500;21150;1289;0.029921772;N;39.91660;116.38330
Shanghai;13;9300;16831;3631;0.084287008;N;31.23300;121.45000 
Singapore;14;3025;5535;7697;0.178671743;E;1.36670;103.75000
Manila;15;5474;1660;43079;1;E;14.61670;121.00000 
Bangkok;16;6450;8249;2005;0.046542399;E;13.83330;100.48330
Jacarta;17;8600;9757;14694;0.341094269;E;-6.15000;106.85000
Calcutta;18;11100;4496;24306;0.564219225;E;22.53330;88.36670
Bombay;19;9950;12478;20680;0.480048283;E;18.96670;72.83330
Delhi;20;7200;16787;11320;0.262773045;N;32.43300;-91.48300
Madras;21;4475;6221;14581;0.338471181;E;13.00000;80.18300
Seoul;22;15850;10140;16746;0.388727686;N;37.58330;127.05000 
Teheran;23;6400;8846;12896;0.299356995;N;35.75000;51.50000  
Karachi;24;5300;21142;5995;0.139162933;N;24.90000;67.15000
Cairo;25;9300;15452;11087;0.257364377;N;30.00000;31.28330
Lagos;26;3800;12090;12095;0.280763249;E;6.58300;3.03300
Kinshasa;27;3000;12071;1211;0.028111145;E;-4.38300;15.45000 
Johannesburg;28;3650;4435;2698;0.062629123;S;-26.13330;27.90000
Casablanca;29;2475;3360;4276;0.0992595;N;33.53330;-7.68320
Mexico;30;14100;21000;14047;0.32607535;E;19.46670;-99.14990
Bogota;31;4260;6778;3817;0.088604657;E;4.63330;-74.09990
Havana;32;2125;2106;2921;0.067805659;S;23.13330;-82.38320
Caracas;33;3600;4850;2513;0.058334687;E;10.50000;-66.96660
Lima;34;4344;8890;3327;0.077230205;E;-12.09990;-76.91660 
Santiago;35;4100;4912;7659;0.177789642;S;-33.43320;-70.66660 
Buenos Aires;36;10750;14500;15226;0.353443673;S;-34.33320;-58.49990
Rio de Janeiro;37;10150;12620;4836;0.112258873;E;-22.45000;-42.71700
Sao Paulo;38;15175;11895;7811;0.181318044;E;-23.56660;-46.63320 
Honolulu;39;762;953;1239;0.028761113;E;+21.30610;-157.86000
Sydney;40;3365;4840;391;0.009076348;S;-33.91660;151.28330
Melbourne;41;2833;4440;577;0.013393997;S;-37.86660;145.13330 
Perth;42;995;2021;375;0.008704937;S;-31.83320;116.16670  
Wellington;43;350;179;619;0.01436895;S;-41.24990;174.75000
Montreal;44;2921;4127;5463;0.126813529;N;45.5088400;-73.5878100
New York;45;16472;8491;6992;0.16230646;N;40.7142700;-74.0059700
Los Angeles;46;9764;16400;3067;0.071194782;N;34.02000;-118.15300
Washington;47;3221;5860;3652;0.084774484;N;38.89750;-77.00920
Houston;48;2755;6313;1348;0.031291348;N;29.75720;-95.36030 
Chicago;49;7717;9526;4492;0.104273544;N;41.87440;-87.63940
San Francisco;50;4054;8607;1419;0.032939483;N;37.77750;-122.41100
Atlanta;51;1962;5457;1294;0.030037837;N;33.75280;-84.39360
Capetown;52;1790;434;1083;0.025139859;S;-33.9258400;18.4232200 
;;;;;;
max densité;;;;;;
43079;;;;;;
